LIQUIDO Temp. (°C) Peso specifico( g/dm3)
Abete                              0.700
Acciaio                            7.860
Acetilene, liquido 70oF            0,38
Acetone 25°C                       0,787
Acido acetico                      1.055
Acido cloridrico 10%               1,05
Acido cloridrico 20%               1,1
Acido cloridrico 30%               1,15
Acido cloridrico 40%               1,2
Acido cloridrico 90% in H2O        1.20
Acido formico                      1.22
Acido nitrico 17%                  1,1
Acido nitrico 25%                  1,15
Acido nitrico 47%                  1,3
Acido nitrico 94%                  1,5
Acido nitrico al 25°C in H2O       1.15
Acido nitrico al 90 % in H2O       1.5
Acido solforico 7.5% in H2O        1.05
Acido solforico 27% in H2O         1,2
Acido solforico 50% in H2O         1,4
Acido solforico 87% in H2O         1,8
Acido solforico fumante 15         1,89
Acido solforico puro               1.89
Acqua a 0 °C                       0.9998
Acqua a 20 °C                      0.9982
Acqua a 4 °C                       1.000
Acqua di mare                      1.025
Acqua distillata                   1.00
Acqua ossigenata                   1.465
Acqua ragia                        0.86-0.88
Alcol, etile (etanolo) 25°C        0,787
Alcol, metile (metanolo) 25°C      0,791
Alcol, propile 25°C                0,802
Alcool etilico puro                0.794
Alcool etilico (95%)               0,81
Alcool metilico                    0.798
Alluminio                          2.600-2.750
Ammoniaca (liquida) 25°C           0,826
Anilina 25°C                       1,022
Argento                           10.500
Aria                               0.001293
Benzene 25°C                       0,876
Benzil 25°C                        1,084
Benzina                            0.700-0.720
Benzina, Veicolo 60oF              0,739
Bromo 25°C                         3,12
Butano, liquido 25°C               0,601
Calcestruzzo                       2.200-2.600
Carta                              0.970
Cellulosa                          1.500
Cemento Portland                   3.150
Cenere                             0.900
Cera (paraffina)                   0.950
Cera d'api                         0.958-0.970
Cherosene 60oF                     0,82
Cloroformio 25°C                   1,469
Corpo umano                        1.040
Diamante                           3.550
Elio                               0.000179
Etano                              0,572
Etere 25°C                         0,716
Ferro                              7.880
Formaldeide 45                     0,815
Freon R-11 25°C                    1,48
Freon R-12 25°C                    1,315
Freon R-22 25°C                    1,197
Gas e vapori                       a 0°C
Gesso                              2.300
Ghiaccio a 0 °C                    0.917
Glicole etilenico 25°C             1,1
Grasso corporeo                    0.900
Idrogeno (H2)                      0.089
Iridio                            22.610
Latte 15                           1,035
Latte a 15 °C                      1.029-1.034
Marmo                              2.500-2.800
Mercurio                          13.590
Mercurio 25°C                     13,633
Nafta                              0.760-0.790
Nafta, petrolio Nafta 15           0,667
Neve fresca                        0.100-0.200
Nichel                             8.600
Olio combustibile 60oF             0,893
Olio d'oliva                       0.916
Olio di lino cotto                 0.94
Olio di Oliva 15                   0,703
Olio di ricino                     0.97
Olio di semi                       0.920
Olio lubrificante 0.9 -            0.93
Oro                               19.250
Osmio                             22.660
Ossigeno (O2)                      0.001429
Ossigeno -183                      1,14
Ottano 25°C                        0,701
Ottone                             8.400-8.700
Palladio                          12.023
Petrolio                           0.840
Petrolio lampante 0.79 -           0.82
Piombo                            11.340
Platino                           21.400
Porcellana                         2.400
Potassa caustica 21% 15            1,2
Potassa caustica 49% 15            1,5
Propano 25°C                       0,495
Rame                               8.890-8.930
Salgemma                           2.200
Soda caustica 18% 15               1,2
Soda caustica 27% 15               1,3
Soda caustica 47% 15               1,5
Soda caustica 9% 15                1,1
Stagno                             7.280
Sughero                            0.200-0.350
Talco                              2.600-2.800
Titanio                            4.870
Toluolo                            0.870
Trementina 25°C                    0,871
Tungsteno                         19.250
Uranio                            19.050
Vetro                              2.400-2.700
Zinco                              7.100
